speaker,f0_midpoint,speech_rate,vowel,condition,group
it02,165.4211122300194,4.1237113402061905,u,voiced,coronal
it02,141.06751049314175,4.145124970336453,a,voiced,velar
it02,152.2006563810148,4.312747511275145,o,voiceless,coronal
it02,167.5083979905978,4.232855743747142,u,voiceless,velar
it02,165.68492850613026,3.980145046435856,u,voiceless,coronal
it02,170.9357587742864,4.419835781001566,u,voiced,velar
it02,144.52341225210964,4.571488653850876,a,voiced,coronal
it02,152.14756741174696,3.980234157175469,o,voiceless,coronal
it02,147.67422177688812,3.902482808343706,o,voiceless,velar
it02,148.9654145172112,4.177521695697832,o,voiced,coronal
it02,172.22016041802115,4.166766495447278,u,voiceless,velar
it02,179.86929130361926,4.092048586938899,u,voiced,coronal
it02,158.4459206014926,4.507011783582299,a,voiceless,coronal
it02,145.09828156048582,4.113133801784983,a,voiced,velar
it02,178.83525958138412,4.102610388424892,u,voiced,velar
it02,175.62815850059175,4.289571836387158,u,voiceless,coronal
it02,155.78683733290953,4.134439571548021,a,voiceless,velar
it02,157.20207313675226,3.94093135045372,o,voiced,velar
it02,160.00016684454874,3.99013837301108,o,voiced,coronal
it02,156.8782446897293,4.134341285738795,a,voiced,coronal
it02,162.41503023381435,3.5714285714285796,o,voiceless,velar
it02,163.31251756643033,4.383590467444158,a,voiceless,coronal
it02,158.04419391704766,4.166666666666663,o,voiced,velar
it02,148.22596235295055,4.664815512377494,a,voiceless,velar
it02,175.66651246583902,4.199501519169699,u,voiced,coronal
it02,151.9270440343809,4.199499314694204,a,voiced,velar
it02,153.55413325899067,4.166666666666663,o,voiceless,coronal
it02,176.6772560316299,4.244056596616734,u,voiceless,velar
it02,178.2447195141501,4.102612492352465,u,voiceless,coronal
it02,180.7596210244133,4.188433431656812,u,voiced,velar
it02,160.84384339341057,4.232855743747142,a,voiced,coronal
it02,159.2540490378757,4.134439571548021,o,voiceless,coronal
it02,162.85526935747762,4.155770755217868,o,voiceless,velar
it02,161.04271075411478,4.354058710791587,o,voiced,coronal
it02,177.6545434518383,4.244056596616766,u,voiceless,velar
it02,179.7513059706575,3.9702016515046576,u,voiced,coronal
it02,159.43241629794437,4.113133801785013,a,voiceless,coronal
it02,149.76951142597747,4.145127118095172,a,voiced,velar
it02,178.7068232460532,4.301075268817173,u,voiced,velar
it02,163.01152429211686,4.210626041143067,u,voiceless,coronal
it02,150.22956560855337,4.545454545454569,a,voiceless,velar
it02,159.91315194451136,3.8930084488016257,o,voiced,velar
it02,153.09112325876848,4.12371134020613,o,voiced,coronal
it02,152.85974820745187,4.255319148936116,a,voiced,coronal
it02,164.597887593279,4.301075268817239,o,voiceless,velar
it02,155.72027988604685,4.383590467444193,a,voiceless,coronal
it02,154.47429447125774,3.7735849056603694,o,voiced,velar
it02,152.9754017694854,4.301075268817239,a,voiceless,velar
it02,172.82740454732112,4.4692163173322585,u,voiced,coronal
it02,148.38014021387178,4.1237113402061905,a,voiced,velar
it02,148.83783177393053,3.980145046435814,o,voiceless,coronal
it02,174.88877756799238,4.155965056645781,u,voiceless,velar
