vot,voicing
31.760642862510345,voiceless
21.90468981529614,voiceless
15.993631578003264,voiceless
37.17943392067902,voiceless
15.082169878489092,voiceless
69.80902515497888,voiceless
71.89098836782226,voiceless
18.98900541869719,voiceless
10.79263973494604,voiceless
26.870651056011496,voiceless
26.278793073496676,voiceless
26.265750228240403,voiceless
25.95727082612065,voiceless
23.369255662818222,voiceless
38.92220796520074,voiceless
22.158877943437183,voiceless
13.883162220528876,voiceless
25.677077914009637,voiceless
23.22783594708944,voiceless
10.969568039021826,voiceless
25.6280384659493,voiceless
35.70883953435078,voiceless
27.024270601750946,voiceless
28.249304241910743,voiceless
0.5187503413788264,voiceless
48.09334441602897,voiceless
33.370537456681504,voiceless
24.360427300219143,voiceless
27.397685278455207,voiceless
27.53354337823266,voiceless
6.287987835194242,voiceless
28.88017054705472,voiceless
26.921829132768416,voiceless
19.724611356647827,voiceless
19.127737065208095,voiceless
22.917489986340467,voiceless
35.79629291848852,voiceless
26.55952282185958,voiceless
29.499940940329378,voiceless
8.003964364180938,voiceless
25.034470421620547,voiceless
26.171427933743495,voiceless
14.10165826201082,voiceless
24.794975779172113,voiceless
22.3226572187043,voiceless
21.613824298508,voiceless
0.43987179754423344,voiceless
13.619965518985031,voiceless
46.17701285509269,voiceless
25.414206499926095,voiceless
39.93870789534459,voiceless
24.03459137987052,voiceless
39.8742457727812,voiceless
30.64095210818651,voiceless
186.50093077849615,voiceless
24.053004045161643,voiceless
31.472437648762508,voiceless
-0.5872201328920301,voiceless
17.137854282432528,voiceless
23.47211639775404,voiceless
32.21898659029243,voiceless
24.041496981137776,voiceless
46.52403008776385,voiceless
22.51159806211067,voiceless
39.46218892783859,voiceless
22.232814871689264,voiceless
11.317516025965311,voiceless
26.77323542461263,voiceless
40.366853202779886,voiceless
14.78434850054966,voiceless
20.632253766621034,voiceless
27.35853246018727,voiceless
15.092296684660056,voiceless
21.09866163910756,voiceless
11.999896124342268,voiceless
23.953748570657353,voiceless
21.427069375257403,voiceless
11.515685978752188,voiceless
12.569650493974738,voiceless
-387.1609191580538,voiceless
22.93225199556126,voiceless
-121.84299908166707,voiceless
19.10355214980064,voiceless
17.558938910795074,voiceless
17.714984903046904,voiceless
23.533395305164404,voiceless
28.969732965841377,voiceless
12.64768923739812,voiceless
25.424413854369337,voiceless
14.808236541152151,voiceless
17.11930138773299,voiceless
19.907288386293853,voiceless
16.569252345933762,voiceless
18.48421041399262,voiceless
18.650521330408232,voiceless
27.031901697947003,voiceless
30.363052861300588,voiceless
28.29822865377696,voiceless
29.49241817285042,voiceless
19.59846185469982,voiceless
19.34439505850105,voiceless
26.29838314400623,voiceless
-111.9870429696538,voiceless
24.01201525844443,voiceless
-124.2264323498874,voiceless
